RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
2352.08117320346	1394.2428736075	723.187926233766	2439.75577770563	1018.60319924964	697.824973362193	2299.90722808081	1835.89175396825	1420.73997073593	1714.93080868687	788.493033160173	830.856716984127	781.967135411255	4459.57448409812	1374.70580564214	978.262561904762	1174.55991337662	1088.64956232323	655.992648989899	972.332511587302	1494.45978792208
1679.0230105466	1715.37027173425	570.127851326293	1072.33670234111	717.791867385226	772.982784837817	788.91123251771	1364.93752857577	818.343218899851	620.073161733814	1139.66899484984	591.7983168253	543.051949563214	1634.96403456618	480.120391919104	722.937022071074	730.373701153172	1401.31223654512	759.232503411708	1256.09157124748	718.682866117606
1481.1522365461	726.475649828248	674.507972620731	916.62867717384	1326.44158055499	444.891958004984	4357.82127867583	1824.82536249747	939.312215632788	2055.9736113693	632.189406715161	532.291894153701	427.203026773085	5195.70553781909	2513.37625264363	1283.41429015963	1079.91848306055	629.266530174446	563.142602646999	772.208134842056	2612.92838364653
1602.74657096733	1193.4587629933	474.571399485249	859.536397603365	648.535804034981	475.942460314385	1025.61098722348	1665.56612976698	1437.24047143042	501.807456015572	604.440878314053	516.806499833951	444.492944862641	1648.11641182819	505.820627921994	1165.04088041734	1254.56244747329	1079.50407087508	497.232289256656	1071.1145855427	782.81317454475
1695.86090424345	1696.79523055468	552.09382144826	1112.65770368693	701.182389857983	631.811432344989	704.995696782958	1403.38495847115	820.520801116974	585.663829054444	874.476144635638	547.124335407151	513.997555645246	1607.55925877435	469.472539671602	855.455037361527	745.935344417756	1458.47362475718	600.768887318213	1172.11393474694	819.92652592928
1803.18808063394	1778.48943677025	558.697008235423	1688.92039334212	688.625205629369	813.717423831485	833.652141100253	1469.56166803924	975.48955213023	787.789274825226	1010.08630417078	685.359008766151	756.620787718239	2264.19049497639	580.676407598551	777.263321254713	856.822715722338	1586.24241411369	701.92106964423	1207.10541273196	1029.05348487427
1855.87021140521	1619.70749585046	568.126519982274	1489.70051416083	523.443811578438	683.33683908428	657.872677473612	1638.82807998953	911.207819283297	855.539951917654	600.03408991016	642.428048706792	690.71975871203	1803.4259969382	508.213107032068	439.923179628958	660.843358381677	1317.23112587624	513.6746673314	1115.56716133873	730.106152042543
1859.34029402256	1643.2957773183	550.131890025063	1960.37479969925	552.053679210526	559.489756967419	975.441984022556	1291.91445265664	1020.75624026316	848.143750363409	443.93287773183	677.581240776942	664.477762819549	2380.75013827068	705.979296829574	651.480903696742	725.337506541353	879.626331491228	432.945660814536	860.875022130326	1152.64548734336
1678.7347661359	1767.62679873942	615.455921398528	1586.58787119448	634.176897432527	793.658797205949	673.412240323469	1367.01238969005	1074.78373114766	825.479358081718	756.357995725051	725.953923739422	785.797163048921	2598.14772745481	459.862517375194	575.030776313154	791.419730740824	1449.13734637099	660.977239803966	1225.12589629963	973.357331355465
1858.23805552736	565.710539393555	473.916542607629	2280.26849623615	402.577320350165	295.657889008712	1172.59804975472	1468.62870811131	1397.8754807367	1292.31882506555	304.645135646621	564.858254398207	501.601309460374	2611.34054685782	1030.10443941893	317.759561046266	525.16015619978	295.715157785672	275.839987122558	470.428133828132	1433.44064207477
1663.03973228046	1672.83786369859	599.05756198662	1421.42805579784	545.441885701583	747.884557519688	606.348967404804	1405.16425163011	956.623797746069	667.830848336015	793.957707355971	623.632959839953	699.924130705394	2277.33459301521	461.94547908375	586.411410788382	732.760740212267	1452.62165927823	602.011200708499	1102.53694877495	1041.2380649434
1581.25528768779	1730.74426113358	586.604146306214	1130.99640454937	537.007967021289	706.418938165677	521.993494401331	1223.12670214717	954.609216131696	578.363133785113	940.115132151662	690.423424047558	615.689280486028	1533.85998659234	400.096715324079	627.24159483125	706.706683316938	1466.2818404015	671.103634878129	1117.44304909462	828.359019127774
1625.20409963481	1468.80476644563	530.956890502619	979.18452250012	431.452825909375	415.771373150017	537.861240011292	1449.33191859473	741.906439118735	446.243112993129	437.458864404642	416.198201371871	406.999838510884	892.293119215799	367.769108794628	470.682946752919	609.715354986546	1394.9401658618	348.801087760079	916.06087527029	615.856280807025
1578.54252402113	1323.40585130412	542.014031591899	876.964660130412	435.53983961096	439.274837095207	581.660227742249	1525.34625841719	799.501627668579	533.868129886517	625.799199261732	437.269384236183	418.040088529421	981.325479701558	488.747700476504	373.568802329227	631.988245477915	1294.95304816765	427.33699844039	991.009415992664	785.835500282141
1844.5174349636	1212.88255812171	494.725690754868	2168.22718878671	959.816377033476	863.255518549483	791.943058975163	1592.17535285819	1707.23724891142	973.509906991326	1281.0985682412	597.344344689449	1565.96182345769	2652.83826766991	634.225985613265	1414.29610269272	2503.68057850002	1043.51302690981	813.762856254572	943.259229543317	1421.3691502421
1623.08853757606	1030.70696585383	515.581831219019	1382.22389972279	437.989441351282	427.577031538516	714.447673549933	1689.59975215543	1167.94442887683	1024.33738593276	541.404649810886	566.573018993587	551.325141811732	1423.62936705664	778.020370204619	318.984987102685	734.624229943383	1129.25157787723	375.361126882327	895.031418775107	1103.44476899946
1565.95933015519	1679.01594818864	583.30489193731	1358.97538366471	616.971548385575	777.936273149131	529.986953023656	1461.39287887096	1089.69355906389	712.854299181584	986.446389578764	683.378794623694	770.574607921177	1894.36058490766	428.135319105403	590.167703123894	782.349369177339	1547.50897028232	674.68352740041	1235.3483187811	944.292455659332
1662.92381253789	1729.08908486325	584.245866819944	1518.44983937293	611.833897275317	731.39389061803	642.822127220526	1382.09319710488	996.76546339636	755.841658482322	666.188309678231	644.315366980085	753.170508195784	1933.90119893506	422.474330879746	552.471790604303	740.852287950539	1395.28734980497	597.171317416469	1160.47073033984	1000.52890026652
1537.90150762814	1534.30997968465	587.533976294991	1281.99252853527	489.863930322752	530.714803597557	444.186526644125	1278.0721327037	927.535417834686	568.697151769119	641.657480249592	513.64663241982	554.992027483066	1738.17477762713	387.991778577643	533.287160469242	608.354808347316	1317.33397129666	519.366449207385	916.439190795383	1013.15055074177
1451.86104543623	845.479398079119	498.309237927329	2516.70351890658	933.797255759285	832.185882832964	891.937741587749	2296.67586469877	4434.46662623413	1245.08466555847	646.908522029686	2402.15339992612	1496.29960843576	3325.10171972597	713.274329639331	983.301157330915	2112.46899523138	675.667437571361	592.878808717845	1250.95577026664	1625.61556239506
1596.13613054644	1661.73425182534	606.426448680562	1397.25220687941	521.751042167876	731.192189957031	509.0145782881	1392.16862586849	947.791135644144	653.374399051154	756.79577049298	607.615138328307	692.091701616021	2079.03717378025	406.563866774917	541.552261004518	703.259324612564	1424.9871735041	617.179373722813	1121.60662504004	960.318379041433
1599.69122332143	1720.00482841419	633.73587042072	1221.19198707155	502.761083478014	590.784788089233	482.99038499252	1369.37719132244	913.234302732008	566.074848041624	660.168492356493	570.339458135421	566.696666246274	1282.30632385538	391.384362531529	604.73904975377	683.180375121477	1491.205953118	505.961069299309	1033.84117096887	915.782627144277
1526.59611228151	210.357932646471	410.571848095751	1424.75594510226	326.516585985955	233.666318647804	849.464516658978	1577.40429545338	1405.68287313548	1915.47340645343	307.249619893383	387.676119150136	362.257556435491	1494.02209139372	1336.08520006151	352.63743713158	361.399562099544	195.665832308165	257.234241990876	255.232409887744	1818.40526851709
1613.19061641049	301.89848229355	528.645702531646	1511.18479616235	422.576078084187	292.312725361664	1273.78064757886	1609.97382748141	887.997609202331	1501.16541844987	315.201347398031	522.846115179827	368.132400467149	2352.37932446755	1468.46096516476	418.376671991159	401.39314720213	249.892857645168	278.041834714688	346.808162849106	2446.61584543902
1070.31300408343	571.23969719814	1185.07003373539	1167.07340469908	1848.66633961553	791.622024689031	3343.39525354944	1605.88900207312	1135.15875593668	2660.43764700339	582.400014197764	843.317117100138	744.305196130167	8129.67686424174	2618.05646274658	984.982992084433	986.876075574821	339.66618758638	654.859934539515	520.04092894836	6286.97503731625
1718.12089016258	972.2210412386	478.863561136945	2205.06786516348	894.443479669082	830.542635809812	691.983647525323	1454.63037651851	1655.63990632998	971.559982102303	1282.08636727227	594.349319851483	1681.71435305144	2785.341937313	659.139952939692	1368.72369314372	2530.14599374572	925.450391027721	840.301294672146	840.876721675498	1824.51925720053
1783.64448662158	1634.29782036796	535.203935670181	1650.10859920052	546.151536473866	646.566433443945	487.895886987021	1500.45576909452	1104.66683591661	660.151017557861	811.165348692961	590.324802320046	758.921070959522	1639.14928284398	423.925403620784	668.697126566416	1049.64864878677	1554.48486867308	555.325984675376	1001.84443907954	1124.81802742891
1873.01229808064	473.223283245309	493.879122160677	2126.12797668427	624.800527287561	356.503675512044	1067.01275338142	3414.34803739963	3399.79165859419	1200.01008776676	737.174416355361	673.341901326807	805.462820387307	2637.81204761905	946.416302524797	1004.59870022328	1154.82697324917	632.293320408777	576.470154128559	637.359467366568	2195.94107458457
1519.81742265197	1521.18950966929	555.363270175703	1363.65787009168	539.80217812935	713.90367496896	479.693200101584	1500.41951109272	1373.30536610357	623.060157580546	875.978689704905	642.343663362053	776.669707745463	1979.00349188582	400.422718392967	565.982664848188	841.472284384915	1433.66769001844	689.746773285927	1065.27587725272	1056.35988317845
1559.24490761234	1040.64651010228	436.887190434272	1934.71607566231	570.644050469484	524.317481723675	827.264157947686	2925.3370221328	5792.79446260899	1006.02682624916	406.839552230047	4013.11941130114	836.299215585178	2980.59738346747	596.656499748491	847.141415409121	1235.22490849262	674.236988640174	374.356429367874	1093.26110974178	1760.99370300973
2112.87037986148	1328.2385135094	509.670560506888	2058.95485570947	393.466305312429	401.524534921481	457.544303485806	1152.30268059467	2120.32713614684	701.138499124743	374.080248243144	821.3970925489	811.65501234239	1831.38259702666	415.318243854175	511.550526232336	990.468378237816	796.106820864094	335.17917818454	689.411010376234	813.54865282746
1650.93657111713	1519.08719195553	546.223496112201	1215.55216319931	445.619493771217	489.07432924829	466.118771315415	1494.64436609673	950.395807001152	516.089840122707	591.098727070292	461.168261043114	508.50178471768	1217.60251428468	394.135419223063	615.577767951872	666.796663733948	1418.79752425592	428.709769483115	869.948887124067	1037.60409378471
1803.74926998336	1029.33323760809	479.629755916859	1521.15099715828	375.546114297893	348.483359964276	675.35420982016	1396.47593035765	946.56542765802	600.969044838225	390.247435939593	424.378979011895	424.194787480209	1420.20350243576	914.658923030082	629.29715801973	529.572500040596	791.07966051638	316.840967360857	531.680388442333	1484.05128646531
1586.86671225665	1454.05635430486	492.234082187348	1179.78577589252	479.353780240522	603.844767661651	416.516536779378	1442.34548701666	1017.85557499461	560.239617065739	749.451784271693	474.507323255406	638.702653872081	1183.78943607426	406.050357250715	712.337383635334	1003.56727237367	1309.56121978644	477.039119101548	881.133331196408	1008.493252083
1498.58640739619	1483.74784236058	563.90057963891	1030.43517271542	458.763871177075	514.846034713808	374.020079772001	1474.320192624	870.890813259537	472.077413380695	875.847904004663	476.902755704556	494.654365729522	1098.20938272846	384.974291845651	542.839827881191	613.239316417006	1424.89098164262	500.999735956603	922.46987023167	877.894409764291
1673.85603674341	410.44963525944	361.853904482391	2329.8306704274	316.148462900849	275.157223890837	400.570387686131	958.58358748793	2441.35015025156	759.419142806322	349.33792460741	579.233350510749	1145.65934321797	1006.17588816893	425.897687172841	341.573750851248	815.286615896732	203.216870407074	259.042696447629	431.916628144534	720.451846902475
2123.76469869742	741.736111680547	650.14688012492	1976.32950955584	451.530927049968	292.995302477045	2038.75062214392	1927.43996284433	1548.10250266923	1819.60836675208	469.692700539184	491.488655589366	400.984438367499	2757.32301291907	2141.90765342729	919.07670235426	1020.78098481209	578.49459820094	380.44706104527	311.824888025838	3966.8680941704
1275.64326748713	1397.67191581939	546.973272678035	1061.45615685864	512.483266972329	616.380928373016	448.597949989275	1201.37678953239	869.069174571	621.414678190691	1053.65660950772	531.173316269841	574.767956199056	1758.79275505148	449.732576351351	535.411425010725	581.594270366795	1351.02161186722	726.512066854354	969.123172104247	1094.60428473295
1747.511899729	441.066528794038	713.258776664731	2399.14446520519	833.351975271003	429.11943945993	1424.38025082269	3846.41404369919	3166.26527008324	1409.00219192799	813.489573993419	989.260045199381	816.802952138986	5735.02210927216	1461.62602889082	1262.8197609369	1182.06052632598	446.282688975997	758.492854481223	582.359179684475	3767.14158725319
1621.31001232506	1512.42755730455	561.085531433711	1292.31019172904	438.625055296776	500.998519130072	432.034390139955	1298.99702158223	873.779472769229	528.882628417232	526.625311001531	467.345210752032	529.928160996713	1786.40934791245	368.89460530909	541.345407626329	546.097306423806	1192.29353624166	481.595661971152	854.929358283273	868.48752503025
1768.78277492515	231.44398364684	405.608639693837	1587.60136459922	323.169724199288	219.307120883466	889.242623849065	1381.67917112919	1044.91437801503	1314.03902426142	292.326378579902	468.395010986838	298.894909478619	1785.13464551206	1489.78350833192	380.775634920635	281.173649437948	173.672094729707	248.041041490143	190.056659944642	2284.6506633339
1535.33845681258	200.595000125423	394.951544525273	1356.25190106192	323.01607707262	224.40287535014	546.802443768552	1383.40718986998	1326.19863071199	1565.21885419541	291.6655936494	357.635703520214	339.108267109829	1646.97632334128	1197.06261825327	306.302405995234	307.264538902128	175.95387599816	242.64839015009	222.385200656382	1693.21424064551
1481.56458146	189.616068930787	393.262520908871	1855.00938123439	346.749421480944	217.000638264443	547.003672024817	812.008375433084	2335.04553549271	1128.81868427202	279.946061598582	762.090249012972	707.28769494803	1710.19058137942	843.713284989123	378.106228466683	264.011438602852	165.257124123761	237.986338248328	449.47999311095	1510.2631950286
1585.47216568617	1479.7522358112	569.818969757767	1247.44924722572	409.324673433763	405.198684678251	375.204228216638	1347.50243531585	879.129547114633	500.95801539316	572.717072312715	423.800117279333	437.382616706907	1163.00707087882	405.15026160438	577.575691524694	599.644658936081	1454.15285052312	417.302361178178	770.036635596967	1011.0501300144
1873.50797408153	882.082778944089	477.096699870587	1986.61458573585	512.968273288279	437.348548757399	499.838765116112	2241.58100837587	2997.10557493949	694.721123840679	546.897776307906	621.063021269202	803.135749239102	1915.33429460541	476.866370215927	922.458792041124	1598.60060167278	855.105495638316	483.697276847125	714.007892815204	1377.69096989959
1707.46835252495	224.828700009931	374.094160286012	1745.6330711803	308.218677615572	209.882516535081	566.539104399424	1432.21224184418	1285.17710613735	1087.03669847063	287.625926287303	344.648289885297	317.300332116788	1532.52875845375	1050.7232896122	290.85526796266	285.894597671185	181.120125701375	220.758427305229	177.067942499628	1583.87257718854
1859.26883187813	950.119806799183	487.092503065205	1445.34517727104	312.012022462691	259.662363273268	657.603224673354	1524.23048342003	853.114407656821	591.902662347514	301.322842497987	386.410650256982	342.343092312217	1609.49891112453	701.096203681342	391.831016378723	442.822698758437	343.756058115054	252.707109434021	369.82062166388	1517.9295772184
1490.27381154077	1417.45620607087	584.960000982018	1261.91999139117	382.049902492091	453.70414568559	401.484793682155	1197.19764925496	851.394742805396	470.149187882958	550.496564860224	454.067945359818	494.51482478919	1827.65031091157	366.670901521834	496.813936368768	518.84388331628	1013.62147219184	485.451258206024	787.317399828294	915.754072545837
1661.20705748881	336.097280270655	411.802772842898	2190.71640674603	380.987035307285	363.457230667481	771.136480769231	2571.9685991046	4026.47835144485	681.635859737485	302.380544871795	2612.64479309117	546.878503052503	2092.22225844526	565.587634310134	1018.38109696785	1155.01811889499	228.817009259259	263.650141330891	409.633525641026	1435.67428428978
2110.0135203609	1373.81267098063	609.624865109058	1914.18111022881	490.576191354254	434.07472690947	486.496225013362	1365.66849386628	1253.7086747474	638.088371306406	485.609798083531	450.128836196584	601.433942175053	2038.84165537909	476.797507915299	910.123522727851	1194.80292201776	847.562829604744	439.619145529511	561.190049718765	1324.15407760047
1982.64297696687	322.77145005176	519.067533902691	2291.86181495859	252.415929865424	240.361557971014	3025.76983566253	1605.75984213251	1116.57065036232	1681.95026656315	309.185456521739	648.850932194617	328.399841097308	2462.16325439959	2874.65114958592	481.7499063147	355.900058747412	174.125457298137	267.775746635611	110.555106884058	4682.07474585921
2322.08447941468	661.187969742064	805.006884176587	2487.37510342262	532.412385912698	257.316969990079	2584.91518824405	4329.54452926587	2823.58731076389	1035.05433878968	695.644815476191	620.458134672619	345.676745287698	3694.32343625992	1693.38370362103	1283.7314905754	1035.11561706349	339.633709077381	526.416795634921	202.187524305556	5018.75847916667
1654.18853682078	1412.61517974602	597.054710432839	1231.81132231944	401.944104595079	370.745287637886	356.657852631758	1225.52995082051	819.101027639702	475.844576421989	455.573431017068	412.020397822189	426.283263175814	1351.1846897896	378.280982193926	554.310187355304	498.110354890145	1109.84853177629	408.274167880975	684.023346475101	928.309182191656
