RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
1012.15583388947	903.455115815085	1679.43143736531	1783.83072360097	2904.26829235315	1288.90552704206	2933.53999475148	984.934179005909	983.749431317344	1874.43112961418	1239.45728953771	1271.97206075773	1068.6482622871	1320.68427486966	1891.99941119221	1074.38611703163	1304.92795898505	886.973490545707	1487.86840490094	1095.10840559611	688.771259471672
936.187691238686	966.959439074183	1040.56433077529	1033.63783520268	1529.0537587072	827.324029196183	1610.13758318575	668.954368826249	803.996920159386	998.152670700512	1004.30070407812	937.889964728453	778.194817862062	692.901997761708	882.307429629083	902.336331193428	878.717782442936	821.894858569461	1047.49190220386	805.075659189296	439.378096025187
1218.13999163832	711.080874433107	1729.16621683673	1811.71654131236	3093.62213669218	1361.6214199263	3245.01494579082	1291.69112251984	1163.56074178005	2532.82899178005	914.759983347506	1148.10327267574	1024.71930477608	1594.00144812925	2717.94440936791	1310.25726842404	1463.51909630102	810.007377905329	1028.18367786281	1009.25226622732	737.040688846372
813.603878789927	816.212057395143	1059.86203829346	909.11127156823	1818.28260249133	929.077454498356	1603.96032968419	705.542646033248	1002.43556142722	910.080355070505	1360.31434876335	1008.6391241384	825.972276005767	906.103985403433	912.437807383881	1179.72226476551	997.582228206514	825.203879848628	1521.1901340046	871.704354912826	433.828125197099
861.767915097822	977.286784348468	1125.20332561831	962.524458859358	1682.63324363234	939.500622517534	1578.94530239941	630.994246197859	824.64833593577	888.686782613511	1063.42781662975	997.926147452935	852.100904521964	1011.83990044297	909.002060538944	1054.02573829826	962.010841140642	820.404061960133	1349.2067708564	858.368253156146	507.122237264673
838.390617124091	889.299005840957	1035.40564844007	918.452312549848	1481.97130748299	885.666479943702	1558.81504468684	637.169523410744	821.222919985925	881.101365962937	951.336571452029	937.342053553835	757.347314051138	932.438521135351	899.609398170303	935.181644733756	850.542391250293	719.385844405348	1026.42088020174	822.237063664086	463.728293877551
860.734986202824	712.055611665861	927.645315429216	804.492847372094	1224.65266784775	755.476176330058	1563.75426407903	676.754429188812	717.22092634348	855.885453374134	709.078331427498	865.368726177055	695.637628925753	842.970654506899	994.653479867934	664.372945401836	724.248689483009	578.34492897407	748.619746926504	682.213589520588	490.087175390562
889.207361199709	749.762592748027	886.043482093895	768.800754378602	1100.05248290527	709.626988948576	1601.8041148229	629.642992138101	782.641702478876	729.312987493705	617.25000327346	756.098219209893	677.833309244027	767.790999496391	869.017607352694	830.562267136702	709.160986010856	562.147406188798	611.969523921437	584.988478848414	513.561718846175
756.828024665982	923.412953888318	984.290540955807	744.474138026721	1334.05226601576	872.467923364166	1370.35977288455	614.541422507708	773.635227389517	795.481171993834	989.786446796848	894.66553055841	803.888561476533	934.554098424118	771.915512829736	842.589175608085	837.696485320315	768.638355566975	1258.13651149366	827.34989838986	603.02812571086
822.67487253937	415.818972464379	977.794678899513	1053.30897248781	1127.02395167792	737.085763170229	1479.7046256093	634.454883741095	908.164869914698	1275.89801347488	491.742918049306	755.884382288152	673.16870031871	971.008761623547	1075.4656957724	409.69370826303	641.384793799213	436.674238188976	540.15780757874	666.990094206974	863.450101541995
776.124242792793	897.908995173745	1045.77011422136	819.661303646504	984.617764114114	811.012346203346	927.830235607036	635.907947490348	809.57498005148	729.372065165165	809.796877348777	785.841810682111	745.463122951523	987.972243800944	775.404706027456	947.891729365079	843.250291934792	716.085051308451	1030.46081578722	703.543108386958	824.750385371085
696.460343462824	851.333297723475	955.365127694236	685.247732435255	1085.54429824561	811.756679281537	1157.77948905597	571.497324498747	815.704061111111	693.7370946533	1064.18080977444	792.35163949457	782.2672393066	1034.80344452799	776.513365538847	1099.13231276107	789.631279323308	686.245779344194	1347.31322807018	697.496736194653	955.178765893901
773.598688030676	813.473388973667	847.163160914818	696.976483859608	923.604935829714	709.462453867825	1164.68059335994	725.626411218062	807.775292639981	659.573400731698	802.277104550612	702.731848730289	690.189593359941	807.818109852487	799.701287748953	667.237323257816	728.438710020738	708.861329068357	913.154310560707	677.53668157452	755.476764350276
